"coloration.key","variable","Label","Display.Order","Color","R","G","B","hexvalue","shape","size","alpha"
"ContractingOffice","CENEODDIVE LEARNING SITE GLKS","CENEODDIVE LEARNING SITE GLKS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER FOR EXPLOSIVE ORDNANCE","CENTER FOR EXPLOSIVE ORDNANCE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER FOR INFORMATION DOMINANCE","CENTER FOR INFORMATION DOMINANCE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER FOR PERSONAL AND","CENTER FOR PERSONAL AND",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER FOR SEAL SWCC","CENTER FOR SEAL SWCC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER FOR SECURITY FORCES","CENTER FOR SECURITY FORCES",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER FOR SERVICE SUPPORT","CENTER FOR SERVICE SUPPORT",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER FOR SURFACE COMBAT SYSTEMS","CENTER FOR SURFACE COMBAT SYSTEMS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CENTER OF EXCELLENCE IN DISASTER","CENTER OF EXCELLENCE IN DISASTER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CHIEF OF NAVAL AIR TRAINING","CHIEF OF NAVAL AIR TRAINING",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CHIEF OF NAVAL PERSONNEL","CHIEF OF NAVAL PERSONNEL",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COASTAL RIVERINE GROUP ONE","COASTAL RIVERINE GROUP ONE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COASTAL RIVERINE GROUP TWO","COASTAL RIVERINE GROUP TWO",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COLUMBUS, OH","COLUMBUS, OH",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMB JT TASK FORCE HORN OF AFRICA","COMB JT TASK FORCE HORN OF AFRICA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMBAT DIRECTION SYSTEMS ACTIVIT","COMBAT DIRECTION SYSTEMS ACTIVIT",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER","COMMANDER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER DLIFLC & POM","COMMANDER DLIFLC & POM",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER FLEET ACT SASEBO JAPAN","COMMANDER FLEET ACT SASEBO JAPAN",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER FLEET ACT YOKOSUKA JAPAN","COMMANDER FLEET ACT YOKOSUKA JAPAN",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER FLEET ACTIVITY CHINHAE","COMMANDER FLEET ACTIVITY CHINHAE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER FLEET CYBER CMD - OPS 3","COMMANDER FLEET CYBER CMD - OPS 3",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER NAVAL AIR FORCE","COMMANDER NAVAL AIR FORCE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER NAVAL AIR FORCE PAC FLEET","COMMANDER NAVAL AIR FORCE PAC FLEET",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER SUBMARINE FORCE","COMMANDER SUBMARINE FORCE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER SUBMARINE GROUP 7","COMMANDER SUBMARINE GROUP 7",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDER US NAVAL FORCES KOREA","COMMANDER US NAVAL FORCES KOREA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDING GENERAL","COMMANDING GENERAL",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDING GENERAL (M68450)","COMMANDING GENERAL (M68450)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDING OFFICER","COMMANDING OFFICER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMMANDING OFFICER TMO","COMMANDING OFFICER TMO",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMNAVMARIANAS DET CAT GUAM","COMNAVMARIANAS DET CAT GUAM",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMNAVREG EURAFSWA NAPLES IT","COMNAVREG EURAFSWA NAPLES IT",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMNAVRESFOR","COMNAVRESFOR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","COMPTROLLER","COMPTROLLER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CONS/LGC","CONS/LGC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CONSTRUCTION BATTALION CENTER","CONSTRUCTION BATTALION CENTER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CONTRACTING OFFICE","CONTRACTING OFFICE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CONTRACTING OFFICER","CONTRACTING OFFICER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ContractingOfficeName","ContractingOfficeName",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CORPUS CHRISTI ARMY DEPOT","CORPUS CHRISTI ARMY DEPOT",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","CSF LEARNING SITE SERE WEST","CSF LEARNING SITE SERE WEST",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DAVID TAYLOR NAVAL SHIP R&D CTR","DAVID TAYLOR NAVAL SHIP R&D CTR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DAVIS TAYLOR NAVAL SHIP R&D CTR","DAVIS TAYLOR NAVAL SHIP R&D CTR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DCMA PROCUREMENT CENTER BOSTON","DCMA PROCUREMENT CENTER BOSTON",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DCMA PROCUREMENT CENTER CARSON","DCMA PROCUREMENT CENTER CARSON",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DCMC LOCKHEED MARTIN DEFENSE SYS","DCMC LOCKHEED MARTIN DEFENSE SYS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DCMC LOCKHEED MARTIN MISSILES &","DCMC LOCKHEED MARTIN MISSILES &",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEF CONTRACT MGMT DISTRICT NE","DEF CONTRACT MGMT DISTRICT NE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEF CONTRACT MGMT DISTRICT WEST","DEF CONTRACT MGMT DISTRICT WEST",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEF. CONTRACT. CMD. - WASHINGTON","DEF. CONTRACT. CMD. - WASHINGTON",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE ACTIVITY FOR","DEFENSE ACTIVITY FOR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE ACTIVITY FOR NON-TRADITI","DEFENSE ACTIVITY FOR NON-TRADITI",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE CONTRACT MANAGEMENT - GF","DEFENSE CONTRACT MANAGEMENT - GF",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE CONTRACT MANAGEMENT - LO","DEFENSE CONTRACT MANAGEMENT - LO",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE CONTRACT MANAGEMENT AGENCY","DEFENSE CONTRACT MANAGEMENT AGENCY",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE CONTRACT MANAGEMENT AREA","DEFENSE CONTRACT MANAGEMENT AREA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE CONTRACT MANAGEMENT DIVI","DEFENSE CONTRACT MANAGEMENT DIVI",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE CONTRACT MANAGMENT OFFICE","DEFENSE CONTRACT MANAGMENT OFFICE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE DISTRIBUTION REGION WEST","DEFENSE DISTRIBUTION REGION WEST",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE ENERGY SUPPORT CENTER","DEFENSE ENERGY SUPPORT CENTER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE PLANT MANAGEMENT OFFICE,","DEFENSE PLANT MANAGEMENT OFFICE,",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE PLANT REPRESENTATIVE OFF","DEFENSE PLANT REPRESENTATIVE OFF",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEFENSE SUPPLY CENTER RICHMOND","DEFENSE SUPPLY CENTER \n RICHMOND",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEPLOYMENT SUPPORT COMMAND (EAST","DEPLOYMENT SUPPORT COMMAND (EAST",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEPLOYMENT SUPPORT COMMAND (WEST","DEPLOYMENT SUPPORT COMMAND (WEST",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DEPT OF AGRIC/FOOD SAFETY AND INSPECT SVC","DEPT OF AGRIC/FOOD SAFETY AND INSPECT SVC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DES DRMS CONTRACTING SERVICES OFC","DES DRMS CONTRACTING SERVICES OFC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DES DSCP CONTRACTING SERVICES OFC","DES DSCP CONTRACTING SERVICES OFC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 1 21 CONS","DET 1 21 CONS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 1 AFRL/PK","DET 1 AFRL/PK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 1 AFRL/PKQ ACQUISITION TECH.","DET 1 AFRL/PKQ ACQUISITION TECH.",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 8 AFRL/PK","DET 8 AFRL/PK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 8 AFRL/PK (SUPPORTS VS)","DET 8 AFRL/PK (SUPPORTS VS)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 8 AFRL/PKO","DET 8 AFRL/PKO",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 8, AFRL/PK (SUPPORTS DE)","DET 8, AFRL/PK (SUPPORTS DE)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DET 8, AFRL/PK (SUPPORTS OTHER)","DET 8, AFRL/PK (SUPPORTS OTHER)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DIR. OF CONTRACTING","DIR. OF CONTRACTING",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DIRECTOR SUBMARINE FORCE US","DIRECTOR SUBMARINE FORCE US",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DIRECTORATE OF CONTRACTING","DIRECTORATE OF CONTRACTING",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DIRECTORATE OF PENINSULA CONTRG","DIRECTORATE OF PENINSULA CONTRG",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION","DLA AVIATION",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION AT CHERRY POINT, NC","DLA AVIATION AT CHERRY POINT, NC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION AT JACKSONVILLE, FL","DLA AVIATION AT JACKSONVILLE, FL",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION AT OGDEN, UT","DLA AVIATION AT OGDEN, UT",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION AT OKLAHOMA CITY, OK","DLA AVIATION AT OKLAHOMA CITY, OK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION AT SAN DIEGO","DLA AVIATION AT SAN DIEGO",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION AT WARNER ROBINS, GA","DLA AVIATION AT WARNER ROBINS, GA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION COLUMBUS OH","DLA AVIATION COLUMBUS OH",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA AVIATION RICHMOND VA","DLA AVIATION RICHMOND VA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA BSM-ENTERPRISE SITE OF BOSS","DLA BSM-ENTERPRISE SITE OF BOSS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA CONTRACTING SERVICES OFFICE","DLA CONTRACTING \n SERVICES OFFICE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA CONTRACTING SVCS OFF COLUMBUS","DLA CONTRACTING SVCS OFF COLUMBUS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DEF REUTILIZATION MKTG SERVICE","DLA DEF REUTILIZATION MKTG SERVICE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DISPOSITION SERVICES","DLA DISPOSITION SERVICES",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DISPOSITION SERVICES -  EBS","DLA DISPOSITION SERVICES -  EBS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DISPOSITION SERVICES - EBS","DLA DISPOSITION SERVICES - EBS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DISPOSITION SERVICES - PACIFIC","DLA DISPOSITION SERVICES - PACIFIC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DISPOSITION SERVICES J-761","DLA DISPOSITION SERVICES J-761",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DISTRIBUTION","DLA DISTRIBUTION",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DOCUMENT SERVICES","DLA DOCUMENT SERVICES",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DOCUMENT SERVICES - BANGOR","DLA DOCUMENT SERVICES - BANGOR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DOCUMENT SERVICES RAMSTEIN","DLA DOCUMENT SERVICES RAMSTEIN",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA DOCUMENT SERVICES, PEARL HARBOR","DLA DOCUMENT SERVICES, PEARL HARBOR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA ENERGY","DLA ENERGY",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA ENERGY AEROSPACE ENRGY-DLAE-M","DLA ENERGY AEROSPACE ENRGY-DLAE-M",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA LAND AND MARI SUPP OPER","DLA LAND AND MARI SUPP OPER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA LAND AND MARITIME","DLA LAND AND MARITIME",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA LAND AND MARITIME - ALBANY","DLA LAND AND MARITIME - ALBANY",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA LAND AND MARITIME SUPPLIER","DLA LAND AND MARITIME SUPPLIER",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA LAND AT ABERDEEN","DLA LAND AT ABERDEEN",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA LAND WARREN","DLA LAND WARREN",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA LOGISTICS INFORMATION SERVICE","DLA LOGISTICS \n INFORMATION SERVICE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA MARITIME - NORFOLK","DLA MARITIME - NORFOLK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA MARITIME - PEARL HARBOR","DLA MARITIME - PEARL HARBOR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA MARITIME - PORTSMOUTH","DLA MARITIME - PORTSMOUTH",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA MARITIME - PUGET SOUND","DLA MARITIME - PUGET SOUND",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA OKLAHOMA CITY","DLA OKLAHOMA CITY",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA STRATEGIC MATERIALS","DLA STRATEGIC MATERIALS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA SUPPORT SERVICES - DSS","DLA SUPPORT SERVICES - DSS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT","DLA TROOP SUPPORT",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E","DLA TROOP SUPPORT C&E",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E (CLASS IV)","DLA TROOP SUPPORT C&E (CLASS IV)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E (FES)","DLA TROOP SUPPORT C&E (FES)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E (HVAC)","DLA TROOP SUPPORT C&E (HVAC)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E (LGHTNG I)","DLA TROOP SUPPORT C&E (LGHTNG I)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E (LGTNG II)","DLA TROOP SUPPORT C&E (LGTNG II)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E (MAT&ME)","DLA TROOP SUPPORT C&E (MAT&ME)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E (SOE)","DLA TROOP SUPPORT C&E (SOE)",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E CONTAINERS","DLA TROOP SUPPORT C&E CONTAINERS",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E HARDWARE","DLA TROOP SUPPORT C&E HARDWARE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E MANU&CON","DLA TROOP SUPPORT C&E MANU&CON",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E SMSG CORP","DLA TROOP SUPPORT C&E SMSG CORP",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT C&E T&IFO EQ","DLA TROOP SUPPORT C&E T&IFO EQ",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT DIR OF SUB","DLA TROOP SUPPORT DIR OF SUB",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT EUROPE&AFRICA","DLA TROOP SUPPORT EUROPE&AFRICA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT EUROPEAN REGION","DLA TROOP SUPPORT EUROPEAN REGION",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT MEDICAL SUPPLY CH","DLA TROOP SUPPORT MEDICAL SUPPLY CH",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSA","DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSG","DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSG",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT PACIFIC","DLA TROOP SUPPORT PACIFIC",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT PACIFIC REGION","DLA TROOP SUPPORT PACIFIC REGION",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROOP SUPPORT SUBSISTENCE SUPPLY CHAIN","DLA TROOP SUPPORT SUBSISTENCE SUPPLY CHAIN",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DLA TROP SUPPORT C&E HARDWARE","DLA TROP SUPPORT C&E HARDWARE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DOD/DEPARTMENT OF THE AIR FORCE","DOD/DEPARTMENT OF THE AIR FORCE",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DOD/DEPARTMENT OF THE NAVY","DOD/DEPARTMENT OF THE NAVY",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DON ASSISTANT FOR ADMINISTRATION","DON ASSISTANT FOR ADMINISTRATION",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DON/AA","DON/AA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","DWIGHT DAVID EISENHOWER MED CENT","DWIGHT DAVID EISENHOWER MED CENT",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ELECTRONIC ATTACK SQUADRON VAQ 129","ELECTRONIC ATTACK SQUADRON VAQ 129",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ELECTRONIC SYSTEMS COMMAND","ELECTRONIC SYSTEMS COMMAND",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/ACK","ESC/ACK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/AWK","ESC/AWK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/CXK","ESC/CXK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/DI","ESC/DI",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/DIAK","ESC/DIAK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/DIBK","ESC/DIBK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/DIGK","ESC/DIGK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/DIK","ESC/DIK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/DISK","ESC/DISK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/FD","ESC/FD",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/FXK","ESC/FXK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/GAK","ESC/GAK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/IAK","ESC/IAK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/IYK","ESC/IYK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/JSK","ESC/JSK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/MAK","ESC/MAK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/MCK","ESC/MCK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/NDK","ESC/NDK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/PK  ELECTRONICS SYSTEM CTR","ESC/PK  ELECTRONICS SYSTEM CTR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/PKO","ESC/PKO",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/PKR R & D CONTRACTING","ESC/PKR R & D CONTRACTING",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/PKX CUSTOMER SUPPORT TEAM","ESC/PKX CUSTOMER SUPPORT TEAM",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/SRK","ESC/SRK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","ESC/TNK","ESC/TNK",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","EURO-HSSA","EURO-HSSA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","EXPEDITIONARY COMBAT CAMERA","EXPEDITIONARY COMBAT CAMERA",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","EXPEDITIONARY COMBAT READINESS CTR","EXPEDITIONARY COMBAT READINESS CTR",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","EXPLOSIVE ORDNANCE DISPOSAL GROU","EXPLOSIVE ORDNANCE DISPOSAL GROU",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","EXPLOSIVE ORDNANCE DISPOSAL GROUP 1","EXPLOSIVE ORDNANCE DISPOSAL GROUP 1",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","EXPLOSIVE ORDNANCE DISPOSAL GROUP 2","EXPLOSIVE ORDNANCE DISPOSAL GROUP 2",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","EXPLOSIVE ORDNANCE DISPOSAL MOBI","EXPLOSIVE ORDNANCE DISPOSAL MOBI",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","FA0021 AFICA 765 SCONF","FA0021 AFICA 765 SCONF",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","FA1500  55 CONS LGCD","FA1500  55 CONS LGCD",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","FA2103  STRATEGIC SYST AAC EBB","FA2103  STRATEGIC SYST AAC EBB",37,"red",170,70,67,"#AA4643",NA,NA,NA
"ContractingOffice","FA2263  AFLCMC WNMRP","FA2263  AFLCMC WNMRP",37,"red",170,70,67,"#AA4643",NA,NA,NA
